OLDCTFILE=170511 AM0004 v1.ct5

NEWCTFILE=170516_A_AM0000 v2.ct5


TOLERANCE=12


NEWCAL=3120


FITORDER=5

//LIMITS	   =  5	
//POLYLIMITS   =  5	
// RTC-X [bit] RTC-Y[bit] REAL-X[mm] REAL-Y[mm]
-312000	-343200	-103.9793631	-114.9082756
-312000	-312000	-104.0063977	-104.4402038
-312000	-280800	-103.9696025	-93.97209682
-312000	-249600	-103.9328073	-83.5039899
-312000	-218400	-103.9598069	-73.09974785
-312000	-187200	-103.9442766	-62.65292922
-312000	-156000	-103.9074697	-52.20609888
-312000	-124800	-103.9770341	-41.78060366
-312000	-93600	-103.982757	-31.37634991
-312000	-62400	-103.8608321	-20.95074935
-312000	-31200	-103.9091433	-10.48268924
-312000	0	-103.9574779	0.027924065
-312000	31200	-103.8994998	10.66625544
-312000	62400	-103.9265929	21.24071022
-312000	93600	-103.9962392	31.8151416
-312000	124800	-104.023344	42.41087297
-312000	156000	-103.986584	52.94280968
-312000	187200	-103.9498239	63.47474638
-312000	218400	-104.0407468	74.04916606
-312000	249600	-104.0252751	84.60236765
-312000	280800	-103.988515	95.13430436
-312000	312000	-104.1219443	105.6235943
-312000	343200	-104.2340736	116.0703427
-280800	-343200	-93.53261465	-114.7961463
-280800	-312000	-93.58092585	-104.3280862
-280800	-280800	-93.69304343	-93.90261436
-280800	-249600	-93.48600042	-83.49824358
-280800	-218400	-93.49171162	-73.11526642
-280800	-187200	-93.49756327	-62.47697016
-280800	-156000	-93.50321597	-52.20037597
-280800	-124800	-93.50896228	-41.75356904
-280800	-93600	-93.51467349	-31.37059189
-280800	-62400	-93.43530174	-20.94501474
-280800	-31200	-93.44104806	-10.49820781
-280800	0	-93.48940608	0.054958679
-280800	31200	-93.55906409	10.65066665
-280800	62400	-93.54358063	21.18259165
-280800	93600	-93.52810888	31.73579325
-280800	124800	-93.57650201	42.35278951
-280800	156000	-93.62487173	52.92723259
-280800	187200	-93.67322975	63.48039908
-280800	218400	-93.72159947	74.05484215
-280800	249600	-93.72740431	84.60803205
-280800	280800	-93.69062085	95.09741557
-280800	312000	-93.69640228	105.6080523
-280800	343200	-93.74472519	116.097389
-249600	-343200	-83.06455453	-114.7478351
-249600	-312000	-83.09158914	-104.2797633
-249600	-280800	-83.07603546	-93.87549782
-249600	-249600	-83.01791689	-83.49248556
-249600	-218400	-83.04490469	-73.10952011
-249600	-187200	-83.05066272	-62.64143658
-249600	-156000	-83.07769733	-52.17336476
-249600	-124800	-83.04087876	-41.74781102
-249600	-93600	-83.00403678	-31.36481046
-249600	-62400	-83.03104799	-20.93929183
-249600	-31200	-82.97297624	-10.47117319
-249600	0	-83.00003426	0.039451812
-249600	31200	-83.15477524	10.59255978
-249600	62400	-83.0967503	21.14578478
-249600	93600	-83.01743706	31.6777449
-249600	124800	-83.08710678	42.29472946
-249600	156000	-83.26314776	52.89037891
-249600	187200	-83.39663556	63.48605177
-249600	218400	-83.4024521	74.06051825
-249600	249600	-83.40824523	84.59243155
-249600	280800	-83.39271495	95.03925019
-249600	312000	-83.27086023	105.5925103
-249600	343200	-83.23408848	116.1031704
-218400	-343200	-72.68154227	-114.8059537
-218400	-312000	-72.62349392	-104.2952818
-218400	-280800	-72.62924024	-93.84847491
-218400	-249600	-72.63493974	-83.48677435
-218400	-218400	-72.59809776	-73.10377379
-218400	-187200	-72.60385579	-62.63569026
-218400	-156000	-72.60961381	-52.16760674
-218400	-124800	-72.63661331	-41.7633647
-218400	-93600	-72.62107133	-31.33782266
-218400	-62400	-72.56296447	-20.9335338
-218400	-31200	-72.56873419	-10.44417369
-218400	0	-72.57450392	0.045186427
-218400	31200	-72.64413853	10.59834121
-218400	62400	-72.60739018	21.15155451
-218400	93600	-72.61319502	31.7047444
-218400	124800	-72.70412963	42.30044067
-218400	156000	-72.83762913	52.91739012
-218400	187200	-72.92855204	63.49180979
-218400	218400	-72.95564517	74.06626457
-218400	249600	-72.91886171	84.55564809
-218400	280800	-72.88208995	95.06630821
-218400	312000	-72.8453299	105.5982449
-218400	343200	-72.85111133	116.1088816
-187200	-343200	-62.23471193	-114.8427605
-187200	-312000	-62.19794017	-104.3321004
-187200	-280800	-62.1824099	-93.88528177
-187200	-249600	-62.18813281	-83.48102803
-187200	-218400	-62.19385572	-73.07677428
-187200	-187200	-62.17831375	-62.65123224
-187200	-156000	-62.18404836	-52.2257019
-187200	-124800	-62.18980638	-41.75761838
-187200	-93600	-62.195541	-31.33208804
-187200	-62400	-62.15872243	-20.9065343
-187200	-31200	-62.16448045	-10.43845078
-187200	0	-62.19153847	0.072174228
-187200	31200	-62.17604331	10.58282264
-187200	62400	-62.2882311	21.13595402
-187200	93600	-62.35788912	31.73166198
-187200	124800	-62.32116418	42.32742847
-187200	156000	-62.3908222	52.92313644
-187200	187200	-62.5030217	63.4975444
-187200	218400	-62.46627335	74.0507577
-187200	249600	-62.38696011	84.58271782
-187200	280800	-62.39274154	95.09335453
-187200	312000	-62.44108786	105.6252444
-187200	343200	-62.46813417	116.1145928
-156000	-343200	-51.76662841	-114.8370025
-156000	-312000	-51.79366302	-104.3689307
-156000	-280800	-51.79942104	-93.90084716
-156000	-249600	-51.74132588	-83.47528171
-156000	-218400	-51.85343175	-73.07108648
-156000	-187200	-51.85916637	-62.64555614
-156000	-156000	-51.82232439	-52.26255558
-156000	-124800	-51.84937071	-41.77320717
-156000	-93600	-51.83382873	-31.34766513
-156000	-62400	-51.77573357	-20.92209968
-156000	-31200	-51.7602033	-10.47528105
